machine,arch,encoding,b,predicate,sigma,clustered,n,bytes_read,time_ns,read_gbps,values_per_ns,values_per_cycle,beta_scan,beta_stream,f,count,expected
i9-9980HK,x86_64,bitpack-scalar,5,branchfree,0.10000,0,67108864,41943040,253551000.0,0.165,0.265,0.00,14.31,17.58,0.0116,6710886,6710886
i9-9980HK,x86_64,fastlanes,5,branchy,0.10000,0,67108864,41943040,17520000.0,2.394,3.830,0.00,14.31,17.58,0.1674,6710886,6710886
i9-9980HK,x86_64,fastlanes,5,branchfree,0.10000,0,67108864,41943040,11106000.0,3.777,6.043,0.00,14.31,17.58,0.2640,6710886,6710886
i9-9980HK,x86_64,bitpack-scalar,5,branchy,0.01000,0,67108864,41943040,256923000.0,0.163,0.261,0.00,14.31,17.58,0.0114,671089,671089
i9-9980HK,x86_64,bitpack-scalar,5,branchfree,0.01000,0,67108864,41943040,254409000.0,0.165,0.264,0.00,14.31,17.58,0.0115,671089,671089
i9-9980HK,x86_64,fastlanes,5,branchy,0.01000,0,67108864,41943040,16940000.0,2.476,3.962,0.00,14.31,17.58,0.1731,671089,671089
i9-9980HK,x86_64,fastlanes,5,branchfree,0.01000,0,67108864,41943040,9807000.0,4.277,6.843,0.00,14.31,17.58,0.2990,671089,671089
i9-9980HK,x86_64,bitpack-scalar,5,branchy,0.00100,0,67108864,41943040,253797000.0,0.165,0.264,0.00,14.31,17.58,0.0116,67109,67109
i9-9980HK,x86_64,bitpack-scalar,5,branchfree,0.00100,0,67108864,41943040,244524000.0,0.172,0.274,0.00,14.31,17.58,0.0120,67109,67109
i9-9980HK,x86_64,fastlanes,5,branchy,0.00100,0,67108864,41943040,16379000.0,2.561,4.097,0.00,14.31,17.58,0.1790,67109,67109
i9-9980HK,x86_64,fastlanes,5,branchfree,0.00100,0,67108864,41943040,9516000.0,4.408,7.052,0.00,14.31,17.58,0.3081,67109,67109
i9-9980HK,x86_64,bitpack-scalar,5,branchy,0.00010,0,67108864,41943040,245526000.0,0.171,0.273,0.00,14.31,17.58,0.0119,6711,6711
i9-9980HK,x86_64,bitpack-scalar,5,branchfree,0.00010,0,67108864,41943040,242643000.0,0.173,0.277,0.00,14.31,17.58,0.0121,6711,6711
i9-9980HK,x86_64,fastlanes,5,branchy,0.00010,0,67108864,41943040,17077000.0,2.456,3.930,0.00,14.31,17.58,0.1717,6711,6711
i9-9980HK,x86_64,fastlanes,5,branchfree,0.00010,0,67108864,41943040,10616000.0,3.951,6.321,0.00,14.31,17.58,0.2762,6711,6711
i9-9980HK,x86_64,bitpack-scalar,7,branchy,1.00000,0,67108864,58720256,249267000.0,0.236,0.269,0.00,14.31,17.58,0.0165,67108864,67108864
