machine,arch,encoding,b,predicate,sigma,clustered,n,bytes_read,time_ns,read_gbps,values_per_ns,values_per_cycle,beta_scan,beta_stream,f,count,expected
M4,arm64,bitpack-scalar,5,branchy,0.01000,0,67108864,41943040,32676000.0,1.284,2.054,0.00,70.15,93.79,0.0183,671089,671089
M4,arm64,bitpack-scalar,5,branchfree,0.01000,0,67108864,41943040,32734000.0,1.281,2.050,0.00,70.15,93.79,0.0183,671089,671089
M4,arm64,fastlanes,5,branchy,0.01000,0,67108864,41943040,12216000.0,3.433,5.494,0.00,70.15,93.79,0.0489,671089,671089
M4,arm64,fastlanes,5,branchfree,0.01000,0,67108864,41943040,8091000.0,5.184,8.294,0.00,70.15,93.79,0.0739,671089,671089
M4,arm64,bitpack-scalar,5,branchy,0.00100,0,67108864,41943040,32461000.0,1.292,2.067,0.00,70.15,93.79,0.0184,67109,67109
M4,arm64,bitpack-scalar,5,branchfree,0.00100,0,67108864,41943040,32678000.0,1.284,2.054,0.00,70.15,93.79,0.0183,67109,67109
M4,arm64,fastlanes,5,branchy,0.00100,0,67108864,41943040,12366000.0,3.392,5.427,0.00,70.15,93.79,0.0484,67109,67109
M4,arm64,fastlanes,5,branchfree,0.00100,0,67108864,41943040,8100000.0,5.178,8.285,0.00,70.15,93.79,0.0738,67109,67109
M4,arm64,bitpack-scalar,5,branchy,0.00010,0,67108864,41943040,32479000.0,1.291,2.066,0.00,70.15,93.79,0.0184,6711,6711
M4,arm64,bitpack-scalar,5,branchfree,0.00010,0,67108864,41943040,32794000.0,1.279,2.046,0.00,70.15,93.79,0.0182,6711,6711
M4,arm64,fastlanes,5,branchy,0.00010,0,67108864,41943040,12584000.0,3.333,5.333,0.00,70.15,93.79,0.0475,6711,6711
M4,arm64,fastlanes,5,branchfree,0.00010,0,67108864,41943040,8017000.0,5.232,8.371,0.00,70.15,93.79,0.0746,6711,6711
M4,arm64,bitpack-scalar,7,branchy,1.00000,0,67108864,58720256,32595000.0,1.802,2.059,0.00,70.15,93.79,0.0257,67108864,67108864
M4,arm64,bitpack-scalar,7,branchfree,1.00000,0,67108864,58720256,32968000.0,1.781,2.036,0.00,70.15,93.79,0.0254,67108864,67108864
M4,arm64,fastlanes,7,branchy,1.00000,0,67108864,58720256,12301000.0,4.774,5.456,0.00,70.15,93.79,0.0681,67108864,67108864
M4,arm64,fastlanes,7,branchfree,1.00000,0,67108864,58720256,7959000.0,7.378,8.432,0.00,70.15,93.79,0.1052,67108864,67108864
M4,arm64,bitpack-scalar,7,branchy,0.50000,0,67108864,58720256,32477000.0,1.808,2.066,0.00,70.15,93.79,0.0258,33554432,33554432
M4,arm64,bitpack-scalar,7,branchfree,0.50000,0,67108864,58720256,32861000.0,1.787,2.042,0.00,70.15,93.79,0.0255,33554432,33554432
M4,arm64,fastlanes,7,branchy,0.50000,0,67108864,58720256,12393000.0,4.738,5.415,0.00,70.15,93.79,0.0675,33554432,33554432
M4,arm64,fastlanes,7,branchfree,0.50000,0,67108864,58720256,7956000.0,7.381,8.435,0.00,70.15,93.79,0.1052,33554432,33554432
M4,arm64,bitpack-scalar,7,branchy,0.10000,0,67108864,58720256,32604000.0,1.801,2.058,0.00,70.15,93.79,0.0257,6710886,6710886
M4,arm64,bitpack-scalar,7,branchfree,0.10000,0,67108864,58720256,32952000.0,1.782,2.037,0.00,70.15,93.79,0.0254,6710886,6710886
M4,arm64,fastlanes,7,branchy,0.10000,0,67108864,58720256,12310000.0,4.770,5.452,0.00,70.15,93.79,0.0680,6710886,6710886
M4,arm64,fastlanes,7,branchfree,0.10000,0,67108864,58720256,8049000.0,7.295,8.338,0.00,70.15,93.79,0.1040,6710886,6710886
M4,arm64,bitpack-scalar,7,branchy,0.01000,0,67108864,58720256,32836000.0,1.788,2.044,0.00,70.15,93.79,0.0255,671089,671089
M4,arm64,bitpack-scalar,7,branchfree,0.01000,0,67108864,58720256,32849000.0,1.788,2.043,0.00,70.15,93.79,0.0255,671089,671089
M4,arm64,fastlanes,7,branchy,0.01000,0,67108864,58720256,12450000.0,4.716,5.390,0.00,70.15,93.79,0.0672,671089,671089
M4,arm64,fastlanes,7,branchfree,0.01000,0,67108864,58720256,8034000.0,7.309,8.353,0.00,70.15,93.79,0.1042,671089,671089
M4,arm64,bitpack-scalar,7,branchy,0.00100,0,67108864,58720256,32778000.0,1.791,2.047,0.00,70.15,93.79,0.0255,67109,67109
M4,arm64,bitpack-scalar,7,branchfree,0.00100,0,67108864,58720256,33005000.0,1.779,2.033,0.00,70.15,93.79,0.0254,67109,67109
M4,arm64,fastlanes,7,branchy,0.00100,0,67108864,58720256,12482000.0,4.704,5.376,0.00,70.15,93.79,0.0671,67109,67109
M4,arm64,fastlanes,7,branchfree,0.00100,0,67108864,58720256,8046000.0,7.298,8.341,0.00,70.15,93.79,0.1040,67109,67109
M4,arm64,bitpack-scalar,7,branchy,0.00010,0,67108864,58720256,32797000.0,1.790,2.046,0.00,70.15,93.79,0.0255,6711,6711
M4,arm64,bitpack-scalar,7,branchfree,0.00010,0,67108864,58720256,32890000.0,1.785,2.040,0.00,70.15,93.79,0.0255,6711,6711
M4,arm64,fastlanes,7,branchy,0.00010,0,67108864,58720256,12482000.0,4.704,5.376,0.00,70.15,93.79,0.0671,6711,6711
M4,arm64,fastlanes,7,branchfree,0.00010,0,67108864,58720256,8039000.0,7.304,8.348,0.00,70.15,93.79,0.1041,6711,6711
M4,arm64,bitpack-scalar,8,branchy,1.00000,0,67108864,67108864,7821000.0,8.581,8.581,0.00,70.15,93.79,0.1223,67108864,67108864
M4,arm64,bitpack-scalar,8,branchfree,1.00000,0,67108864,67108864,7985000.0,8.404,8.404,0.00,70.15,93.79,0.1198,67108864,67108864
M4,arm64,fastlanes,8,branchy,1.00000,0,67108864,67108864,10689000.0,6.278,6.278,0.00,70.15,93.79,0.0895,67108864,67108864
M4,arm64,fastlanes,8,branchfree,1.00000,0,67108864,67108864,7544000.0,8.896,8.896,0.00,70.15,93.79,0.1268,67108864,67108864
M4,arm64,bitpack-scalar,8,branchy,0.50000,0,67108864,67108864,7691000.0,8.726,8.726,0.00,70.15,93.79,0.1244,33554432,33554432
M4,arm64,bitpack-scalar,8,branchfree,0.50000,0,67108864,67108864,7857000.0,8.541,8.541,0.00,70.15,93.79,0.1218,33554432,33554432
M4,arm64,fastlanes,8,branchy,0.50000,0,67108864,67108864,10891000.0,6.162,6.162,0.00,70.15,93.79,0.0878,33554432,33554432
M4,arm64,fastlanes,8,branchfree,0.50000,0,67108864,67108864,7614000.0,8.814,8.814,0.00,70.15,93.79,0.1256,33554432,33554432
M4,arm64,bitpack-scalar,8,branchy,0.10000,0,67108864,67108864,7639000.0,8.785,8.785,0.00,70.15,93.79,0.1252,6710886,6710886
M4,arm64,bitpack-scalar,8,branchfree,0.10000,0,67108864,67108864,7777000.0,8.629,8.629,0.00,70.15,93.79,0.1230,6710886,6710886
M4,arm64,fastlanes,8,branchy,0.10000,0,67108864,67108864,10900000.0,6.157,6.157,0.00,70.15,93.79,0.0878,6710886,6710886
M4,arm64,fastlanes,8,branchfree,0.10000,0,67108864,67108864,7621000.0,8.806,8.806,0.00,70.15,93.79,0.1255,6710886,6710886
M4,arm64,bitpack-scalar,8,branchy,0.01000,0,67108864,67108864,7663000.0,8.758,8.758,0.00,70.15,93.79,0.1248,671089,671089
M4,arm64,bitpack-scalar,8,branchfree,0.01000,0,67108864,67108864,7852000.0,8.547,8.547,0.00,70.15,93.79,0.1218,671089,671089
M4,arm64,fastlanes,8,branchy,0.01000,0,67108864,67108864,10812000.0,6.207,6.207,0.00,70.15,93.79,0.0885,671089,671089
M4,arm64,fastlanes,8,branchfree,0.01000,0,67108864,67108864,7613000.0,8.815,8.815,0.00,70.15,93.79,0.1257,671089,671089
M4,arm64,bitpack-scalar,8,branchy,0.00100,0,67108864,67108864,7610000.0,8.819,8.819,0.00,70.15,93.79,0.1257,67109,67109
M4,arm64,bitpack-scalar,8,branchfree,0.00100,0,67108864,67108864,7839000.0,8.561,8.561,0.00,70.15,93.79,0.1220,67109,67109
